match_date,season,team1,team2,winner,rest_t1,rest_t2,rest_diff,t1_won
2008-04-21,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,2,2,0,1
2008-04-22,2008,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,2,3,-1,0
2008-04-23,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,4,3,1,1
2008-04-24,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2,3,-1,0
2008-04-25,2008,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,4,2,2,1
2008-04-26,2008,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,3,6,-3,1
2008-04-26,2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,6,2,4,0
2008-04-27,2008,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,2,5,-3,1
2008-04-27,2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,2,3,-1,0
2008-04-28,2008,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,2,2,0,0
2008-04-29,2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,3,2,1,0
2008-04-30,2008,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,3,2,1,1
2008-05-01,2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,5,2,3,1
2008-05-01,2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,4,4,0,0
2008-05-02,2008,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,4,2,2,0
2008-05-03,2008,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,3,2,1,1
2008-05-03,2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,2,2,0,1
2008-05-04,2008,Mumbai Indians,Delhi Daredevils,Mumbai Indians,5,2,3,1
2008-05-04,2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,3,2,1,1
2008-05-05,2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,2,2,0,0
2008-05-06,2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,2,3,-1,0
2008-05-07,2008,Mumbai Indians,Rajasthan Royals,Mumbai Indians,3,3,0,1
2008-05-08,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,5,3,2,1
2008-05-08,2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,4,2,2,0
2008-05-09,2008,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,2,3,-1,1
2008-05-10,2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,2,5,-3,1
2008-05-11,2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,2,3,-1,1
2008-05-11,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,2,3,-1,0
2008-05-12,2008,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,2,4,-2,1
2008-05-13,2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,2,2,0,1
2008-05-14,2008,Mumbai Indians,Chennai Super Kings,Mumbai Indians,7,4,3,1
2008-05-15,2008,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,2,4,-2,1
2008-05-16,2008,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,2,3,-1,1
